STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv 
AL,01,Autauga County,001,01001,2015,55.347,6.349,0.38,0,0.38,60,2.71,55,3.09
AL,01,Baldwin County,003,01003,2015,203.709,28.802,2.14,0,2.14,74,12.78,73,14.92
AL,01,Barbour County,005,01005,2015,26.489,1.902,0.12,0,0.12,63,1.42,58,1.54
AL,01,Bibb County,007,01007,2015,22.583,1.636,0.16,0,0.16,98,1.81,86,1.97
AL,01,Blount County,009,01009,2015,57.673,12.858,0.86,0,0.86,67,2.79,62,3.65
AL,01,Bullock County,011,01011,2015,10.696,0.738,0.07,0,0.07,95,0.89,89,0.96
AL,01,Butler County,013,01013,2015,20.154,3.348,0.27,0,0.27,81,1.35,80,1.62
AL,01,Calhoun County,015,01015,2015,115.62,6.182,0.44,0,0.44,71,7.52,69,7.96
AL,01,Chambers County,017,01017,2015,34.123,8.34,0.48,0,0.48,58,1.74,67,2.22
AL,01,Cherokee County,019,01019,2015,25.859,8.113,0.49,0,0.49,60,1.08,61,1.57
AL,01,Chilton County,021,01021,2015,43.943,9.313,0.6,0,0.6,64,2.22,64,2.82
AL,01,Choctaw County,023,01023,2015,13.17,8.172,0.41,0,0.41,50,0.25,50,0.66
AL,01,Clarke County,025,01025,2015,24.675,6.916,0.45,0,0.45,65,1.19,67,1.64
AL,01,Clay County,027,01027,2015,13.555,7.585,0.32,0,0.32,42,0.28,47,0.6
AL,01,Cleburne County,029,01029,2015,15.018,8.405,0.94,0,0.94,112,0.61,92,1.55
AL,01,Coffee County,031,01031,2015,51.211,8.75,0.8,0,0.8,91,3.53,83,4.33
AL,01,Colbert County,033,01033,2015,54.354,3.94,0.35,0,0.35,89,4.27,85,4.62
AL,01,Conecuh County,035,01035,2015,12.672,5.684,0.18,0,0.18,32,0.41,59,0.59
AL,01,Coosa County,037,01037,2015,10.724,4.885,0.33,0,0.33,68,0.39,67,0.72
AL,01,Covington County,039,01039,2015,37.835,13.652,1,0,1,73,1.81,75,2.81
AL,01,Crenshaw County,041,01041,2015,13.963,3.347,0.15,0,0.15,45,0.83,78,0.98
AL,01,Cullman County,043,01043,2015,82.005,2.581,0.19,0,0.19,74,5.73,72,5.92
AL,01,Dale County,045,01045,2015,49.565,9.097,0.68,0,0.68,75,3.05,75,3.73
AL,01,Dallas County,047,01047,2015,41.131,9.42,0.66,0,0.66,70,2.23,70,2.89
AL,01,DeKalb County,049,01049,2015,71.13,19.365,1.34,0,1.34,69,3.39,65,4.73
AL,01,Elmore County,051,01051,2015,81.468,5.598,0.36,0,0.36,64,5.02,66,5.38
AL,01,Escambia County,053,01053,2015,37.789,6.95,0.51,0,0.51,73,2.22,72,2.73
AL,01,Etowah County,055,01055,2015,103.057,4.005,0.26,0,0.26,65,6.6,67,6.86
AL,01,Fayette County,057,01057,2015,16.759,7.016,0.49,0,0.49,70,0.68,70,1.17
AL,01,Franklin County,059,01059,2015,31.696,6.692,0.37,0,0.37,55,1.4,56,1.77
AL,01,Geneva County,061,01061,2015,26.777,11.236,0.68,0,0.68,61,0.94,60,1.62
AL,01,Greene County,063,01063,2015,8.479,2.701,0.16,0,0.16,59,0.35,61,0.51
AL,01,Hale County,065,01065,2015,15.068,2.908,0.33,0,0.33,113,1.38,113,1.71
AL,01,Henry County,067,01067,2015,17.221,3.924,0.24,0,0.24,61,0.81,61,1.05
AL,01,Houston County,069,01069,2015,104.173,19.55,1.11,0,1.11,57,4.98,59,6.09
AL,01,Jackson County,071,01071,2015,52.419,13.617,0.86,0,0.86,63,2.61,67,3.47
AL,01,Jefferson County,073,01073,2015,660.367,6.048,0.38,0,0.38,63,48.85,75,49.23
AL,01,Lamar County,075,01075,2015,13.886,5.218,0.29,0,0.29,56,0.49,57,0.78
AL,01,Lauderdale County,077,01077,2015,92.596,14.779,1.17,0,1.17,79,6.17,79,7.34
AL,01,Lawrence County,079,01079,2015,33.115,5.486,0.35,0,0.35,64,1.78,64,2.13
AL,01,Lee County,081,01081,2015,156.993,9.39,0.72,0,0.72,77,9.81,66,10.53
AL,01,Limestone County,083,01083,2015,91.663,12.698,0.99,0,0.99,78,5.42,69,6.41
AL,01,Lowndes County,085,01085,2015,10.458,0.745,0.05,0,0.05,67,0.76,78,0.81
AL,01,Macon County,087,01087,2015,19.105,2.811,0.15,0,0.15,53,1.16,71,1.31
AL,01,Madison County,089,01089,2015,353.089,10.431,0.72,0,0.72,69,30.95,90,31.67
AL,01,Marengo County,091,01091,2015,20.028,8.465,0.53,0,0.53,63,0.72,62,1.25
